0;1;
Вакцина НИИ "Вектор";нии интерфакс эфир инфекция александр роспотребнадзор екатеринбургский семён март москва вакцина "эхо вирусный понедельник центр;
Политический кризис в Молдавии;интерфакс социалист досрочный майя молдавия четверг выборы заседание глава большинство правительство пост санда утверждение президент март кишинёв парламентский кандидат парламент партия суд владимир посол дата назначение конституционный случай головатюк россия настаивать гроса премьер-министр игорь заявить новый депутат кворум состояться отсутствие фракция получить право назначить ситуация;
Запуск спутников SpaceX;флорида интернет-покрытие группировка вашингтон проект интерфакс спутник мыс крупный время стартовый оператор сеть май 23-й глобальный орбита система восточный среда являться интернет-спутник тяжёлый ракета-носитель рамка компания вывод космический побережье 40-й аппарат канаверал запуск мир предыдущий комплекс март штат спутниковый группа четвёртый орбитальный сша космодром партия состоять данный шестой развернуть планета полномасштабный км минута управляемый очередной раз использоваться млрд планировать посадка широкополосный инвестиция секунда вывести создание атлантика последующий реализация тип земля платформа перспектива ступень морской мини-спутник доступ автоматический сумма находиться оцениваться тыс старт позволить многоразовый ракета первый уголок обеспечить интернет компания-разработчик совершить житель вертикальный общий;
Значения фондовых индексов;значение индекс изменение агентство информационный закрытие данные;
Рынок акций РФ;сутки инфляция замедление рост исследование финансы министр результат китайский минэнерго оказать услуга новый рк бумага условие интерфакс нефть ускорение устаревший контракт испытание рубль годовой джером данные пауэлла погодный американский федеральный прогнозировать динамика предстоять запас работа пострадать возобновление финансовый банковский сенат распространение инвестор еврозона доллар объём пункт мера оценка гонконгский тяжёлый выступление "московский цена дневный торг заявить энергетика "голубой залив фон опубликовать штат москва министерство аналитик восстановление район баррель показать связь отмечать сша млн рф степень японский нефтяной страна продемонстрировать просесть активность джанет отмечаться сильный выступить середина слушание азия энергоноситель экономика закрытие палата апрель неполный исключать ограничение стоимость неделя составить 10-летний глава морозов день индекс уровень публикация акция форма южный система резервный среда большинство доходность давление пандемия представитель вырасти цб предел больший компания нефтеперерабатывающий откат эффективность негативный побережье европа фьючерс ожидать германия рынок йеллен нефтепереработка снизиться находиться продлить тыс мексиканский март повод карантинный мощность внешний мосбиржа вакцина преобладать фондовый конгресс экономический комитет февраль коронавирус майский вторник снижение осложнение рекомендовать дальнейший смешанный меркель корректироваться обвал регион продажа решение есть стоить "интер втб привести май человек банк правительство борьба подорожать гражданин аналитика фрс подешеветь журналист нидерланды случай влияние мир общенациональный волна карантин расписка ангела власть консультация эпидемия опасение федрезерв считать локдаун пресс-конференция премьер-министр канцлер ужесточаться марк 15-часовой инструмент риск текущий мировой темп "газпром актив европейский ситуация фактор представлять продлевать слово выезжать земля берлин рютта сектор высокий терять главный коррекционный ослабление бензин сократиться коронавирусный увеличиться инфекция институт дистиллят прошлый;
Сделка Яндекс.Такси и Везет;гк повлиять такси уровень рынок концентрация сделка экономический предмет необходимость начало интерфакс проверить покупка регулятор федеральный нарушение служба актив "яндекс сообщаться согласование грузоперевозка ведомство антимонопольный бизнес заказ март кол-центр конкуренция москва телеграм-канал февраль;
Обстоятельства госпитализации Навального;рф защита интерфакс судья толкаченко решение управление алексей андрей др навальный март москва оппозиционер обстоятельство продолжаться преступление возбуждение суд гимади транспортный вячеслав мвд томск следствие очередь получать дело представитель проверка госпитализация отравление уведомление сибирский выявить событие отказ уголовный;
Кросс-курсы мировых валют;агентство фунт доллар информационный данные евро швейцарский японский сша франк иена валюта стерлинг;
Встреча по Афганистану в Москве;рф интерфакс отметить участие заседание конфликт переговоры прекращение афганистан уровень пакистан насилие спецпредставитель заявить март москва россия межафганский мирный сша снижение продвижение национальный дать делегация совет ситуация правительство обсудить захаров вооружённый примирение движение урегулирование планироваться президент талиб афганский высокий группа четверг;
Задержания на форуме муниципальных депутатов;округ координатор проект красносельский интерфакс нежелательный галямин исполнительный илья депутат усманов съезд провести задержать глава владимир сотрудник "открытый орган пивоваров татьяна андрей полиция тимирязевский гостиница планироваться правоохранительный март яшин москва организовать район оппозиционный директор суббота муниципальный рф собрание форум максим пресс-служба санкт-петербург резник организация законодательный движение;
